Date,Open,High,Low,Close,Volume (BTC),Volume (Currency),Weighted Price
29/11/2017 00:00,9877.63,9919.58,9866.97,9900,245.46,2429200.9,9896.66
29/11/2017 01:00,9900,9998.99,9897.63,9996.7,908.28,9051341.73,9965.32
29/11/2017 02:00,9996.7,10124.01,9970,10124.01,959.88,9627126.21,10029.52
29/11/2017 03:00,10124.01,10323.37,10101.11,10263.96,679.28,6946029.89,10225.52
29/11/2017 04:00,10263.96,10438,10170.06,10424.95,785.83,8116919.14,10329.13
29/11/2017 05:00,10417.9,10743.61,10069.12,10083.99,2190.84,22872278.27,10439.95
29/11/2017 06:00,10069.12,10515.99,10000,10301.36,1408.98,14507805.8,10296.68
29/11/2017 07:00,10300,10528,10289.86,10508.02,934.73,9709145.13,10387.08
29/11/2017 08:00,10508.02,10680,10480.06,10629.19,1136.63,12054668.82,10605.58
29/11/2017 09:00,10627.96,10737.57,10589.99,10709.96,1047.4,11178875.51,10672.98
29/11/2017 10:00,10709.95,10851.31,10620,10843,860.23,9232349.2,10732.4
29/11/2017 11:00,10843,10890.46,10690.16,10770.24,1224.72,13226189.63,10799.36
29/11/2017 12:00,10770.3,10930.36,10766.25,10881.77,923.51,10039104.54,10870.59
29/11/2017 13:00,10881.77,11231.93,10870.06,11220,1241.59,13612297.25,10963.57
29/11/2017 14:00,11220,11395,11099,11154.93,1429.34,15994680.63,11190.28
29/11/2017 15:00,11150,11271.53,10449,10819.12,2272.54,24576210.13,10814.41
29/11/2017 16:00,10819.12,11000,10700.83,10800,1575.69,17167787.39,10895.44
29/11/2017 17:00,10800,10829,10427.69,10565.5,1688.82,17955033.65,10631.68
29/11/2017 18:00,10565.5,10724.47,10217.09,10310.68,2209.84,23114367.34,10459.77
29/11/2017 19:00,10310.68,10324.99,9250,9500,2509.25,24448059.89,9743.18
29/11/2017 20:00,9504,9964,9360,9964,924.06,8896263.49,9627.35
29/11/2017 21:00,9964,10205,9630,10204.99,2939.83,29055026.17,9883.22
29/11/2017 22:00,10204.98,10350,9772.56,9949.98,1694.66,17119897.99,10102.29
29/11/2017 23:00,9949.96,10002.91,9540.87,9824.68,1640.95,16018903.5,9762
30/11/2017 00:00,9833.7,10102.94,9708.73,10007.43,591.01,5879798.48,9948.71
30/11/2017 01:00,10004.92,10409.07,9985.93,10386.91,873.67,8901382.03,10188.51
30/11/2017 02:00,10400,10419.71,10203.97,10402.89,482.05,4986599.67,10344.56
30/11/2017 03:00,10418.96,10513.16,10306.01,10450,552.7,5771706.71,10442.8
30/11/2017 04:00,10448.97,10618.29,10448.96,10543.97,369.75,3903758.66,10557.74
30/11/2017 05:00,10511.52,10581.95,10203.97,10359.12,448.91,4645881.63,10349.3
30/11/2017 06:00,10370.13,10370.43,9903.88,10135,947.47,9574214.67,10105.07
30/11/2017 07:00,10134.96,10242.91,10002.91,10203.9,904.93,9166564.85,10129.63
30/11/2017 08:00,10203.9,10306.01,10124,10226,507.21,5187575.15,10227.68
30/11/2017 09:00,10226,10237.99,10002.91,10160,732.22,7422466.56,10136.88
30/11/2017 10:00,10160,10190.04,9482,9482,1859.86,18238808.66,9806.55
30/11/2017 11:00,9479,9903.88,9465.64,9708,1597.76,15486579.74,9692.69
30/11/2017 12:00,9700,9935.58,9533,9850.23,784.06,7657801.13,9766.9
30/11/2017 13:00,9850.23,9850.23,9000,9150.12,3246.6,30321092.52,9339.34
30/11/2017 14:00,9150.01,9461,9000,9461,1944.81,17977149.27,9243.64
30/11/2017 15:00,9453.43,9508.82,9055.51,9249.99,1523.95,14143487.79,9280.82
30/11/2017 16:00,9247.17,9487.5,9200,9269,1004.04,9402748.03,9364.94
30/11/2017 17:00,9265,9708.73,9110,9602,1584.54,14874654.38,9387.34
30/11/2017 18:00,9599.55,9833.71,9548.01,9639.17,1185.73,11494654.99,9694.15
30/11/2017 19:00,9639.17,9900,9630.01,9864.26,700.34,6878235.49,9821.29
30/11/2017 20:00,9864.27,9903.88,9423.2,9457.61,1137.03,10953739.79,9633.68
30/11/2017 21:00,9435.74,9792.99,9435.73,9701.67,574.64,5534345.93,9631.06
30/11/2017 22:00,9700,10000,9663.57,9849.27,827.95,8141445.86,9833.25
30/11/2017 23:00,9849.27,10178.7,9834.19,9947.67,1052.25,10549158.78,10025.38
01/12/2017 00:00,9927.29,10079,9805.82,9905.94,567.84,5659465.58,9966.58
01/12/2017 01:00,9900,9910.03,9708.73,9843.06,632.75,6203775.48,9804.43
01/12/2017 02:00,9843.06,9845.53,9612.6,9844.99,373.32,3633390.94,9732.58
01/12/2017 03:00,9820.99,9844.99,9683.86,9745.6,151.09,1470451.35,9732.37
01/12/2017 04:00,9737.24,9968,9662.17,9872.94,374.01,3680799.77,9841.48
01/12/2017 05:00,9872.94,9872.95,9534.87,9589,423.69,4096117.68,9667.67
01/12/2017 06:00,9589,9687.01,9430,9431,363.53,3472056.35,9550.99
01/12/2017 07:00,9449.99,9612.6,9370.11,9596.61,704.74,6686500,9487.9
01/12/2017 08:00,9563.35,9872.95,9540.02,9830,596.95,5815859.67,9742.61
01/12/2017 09:00,9830,10089.97,9745.04,10064.66,702.13,6979508.36,9940.43
01/12/2017 10:00,10064.67,10079.53,9787,9809,747.75,7412391.34,9912.86
01/12/2017 11:00,9809,9999.9,9797.6,9999.9,405.62,4026340.39,9926.35
01/12/2017 12:00,9999.9,10316.25,9984.65,10156,1353.29,13809559.31,10204.41
01/12/2017 13:00,10156,10744,10155.99,10662.75,2060.46,21683144.29,10523.45
01/12/2017 14:00,10662.7,10733,10451.51,10618.29,1256.61,13331973.34,10609.47
01/12/2017 15:00,10618.29,10618.29,10440.07,10557.78,1030.17,10853084.72,10535.26
01/12/2017 16:00,10557.78,10723.65,10510,10650.35,682.4,7240900.73,10610.98
01/12/2017 17:00,10651,10675.08,10410,10450,695.53,7315981.76,10518.54
01/12/2017 18:00,10450,10565,10440,10482.2,385.92,4052328.06,10500.56
01/12/2017 19:00,10500,10649,10482.27,10550.09,589.27,6242632.94,10593.82
01/12/2017 20:00,10569.48,10857.69,10532.28,10773.66,958.19,10305089.62,10754.75
01/12/2017 21:00,10773.66,10949.89,10724.48,10903.5,776.45,8436744.84,10865.74
01/12/2017 22:00,10900.99,10906.88,10762.94,10815,474.01,5139661.98,10842.86
01/12/2017 23:00,10815,10863.47,10677.83,10840.45,402.29,4334002.13,10773.29
02/12/2017 00:00,10840.45,10999.13,10822.12,10897.61,648.38,7095882.8,10944.08
02/12/2017 01:00,10901,11082,10868.38,11035,550.93,6064921.25,11008.45
02/12/2017 02:00,11039,11051.06,10940.04,11039.87,281.94,3101185.98,10999.29
02/12/2017 03:00,11034.17,11042.09,10900.13,10924.02,223.25,2444713.86,10950.75
02/12/2017 04:00,10924.02,10959.51,10724.48,10844.72,530.09,5727916.05,10805.49
02/12/2017 05:00,10844.06,10923,10637.69,10923,483.53,5199815.65,10753.81
02/12/2017 06:00,10922.99,10940.04,10828.96,10828.96,238.28,2596192.71,10895.43
02/12/2017 07:00,10828.96,10980,10790.01,10947.95,242.71,2639777.22,10876.17
02/12/2017 08:00,10951,10980,10878.35,10959.44,144.95,1583738.98,10926.4
02/12/2017 09:00,10959.44,11150,10959.44,11147.17,558.61,6191949.79,11084.5
02/12/2017 10:00,11149.99,11200,11075,11092.88,465.59,5194601.54,11156.98
02/12/2017 11:00,11092.88,11113.64,10800,10949,660.71,7228235.61,10940.18
02/12/2017 12:00,10949.56,11099.89,10930,11099.89,461.04,5083593.18,11026.31
02/12/2017 13:00,11099.89,11146.01,10958.51,11023.12,278.44,3080651.75,11064.07
02/12/2017 14:00,11023.12,11083.46,10658.42,10882.81,891.28,9664511.23,10843.41
02/12/2017 15:00,10888.07,10933.33,10687,10736.81,513.59,5534496.29,10776.16
02/12/2017 16:00,10749.1,10831.72,10686.02,10817.39,302.46,3252777.67,10754.37
02/12/2017 17:00,10817.44,10935.04,10805.02,10888.58,297.96,3234955.09,10857.01
02/12/2017 18:00,10888.55,10995,10861.92,10900.01,256.34,2807837.2,10953.44
02/12/2017 19:00,10900.01,10959.88,10831.72,10888,243.47,2652799.62,10895.57
02/12/2017 20:00,10875.42,10950.04,10860.19,10950.04,133.16,1453064.35,10912.24
02/12/2017 21:00,10950.04,11049.44,10937.71,11035,405.28,4459478.17,11003.46
02/12/2017 22:00,11034,11040,10917.09,10949.1,247.27,2714485.56,10977.97
02/12/2017 23:00,10949.13,10985.75,10831.72,10872,207.89,2262502.81,10883.05
03/12/2017 00:00,10875.68,10977,10770.32,10894.9,377.45,4109654.13,10887.97
03/12/2017 01:00,10883.88,10950.61,10811.19,10940.24,229.71,2504703.59,10903.63
03/12/2017 02:00,10940.2,10958.5,10897.79,10942.69,72.78,795741.85,10933.02
03/12/2017 03:00,10934.5,10999,10870.36,10999,125.71,1374157.91,10930.97
03/12/2017 04:00,10999,11120.77,10970.78,11118.17,315.4,3487976.02,11059
03/12/2017 05:00,11116.6,11121,11030.06,11060,185.41,2053406.05,11074.88
03/12/2017 06:00,11060,11133.33,10979,11118.8,167.89,1859984.01,11078.82
03/12/2017 07:00,11118.8,11185,11111.18,11164.84,310.8,3465711.08,11150.84
03/12/2017 08:00,11164.84,11186.99,11077,11136.9,96.19,1071915.75,11143.66
03/12/2017 09:00,11136.89,11163.8,11077,11090,51.42,571715.68,11117.5
03/12/2017 10:00,11090,11160.79,11090,11099.05,75.69,842569.53,11132.43
03/12/2017 11:00,11099,11584.34,11097,11584.34,1454.89,16613952.77,11419.38
03/12/2017 12:00,11585.41,11675,11500,11601,930.07,10776245.5,11586.5
03/12/2017 13:00,11601,11720.27,11585.09,11650.3,397.21,4626012.96,11646.29
03/12/2017 14:00,11647.03,11696.58,11520,11600,430.09,4985563.41,11591.88
03/12/2017 15:00,11597.64,11800.01,11578.25,11744.22,618.91,7273094.17,11751.53
03/12/2017 16:00,11718.8,11769.99,11613.07,11669.57,464,5429223.49,11700.86
03/12/2017 17:00,11669.53,11720,11650,11662.95,207.6,2425807.9,11684.81
03/12/2017 18:00,11662.95,11730,11644.98,11725,161.43,1885611.28,11680.57
03/12/2017 19:00,11725,11743.15,11690.01,11725,206.54,2418505.46,11709.72
03/12/2017 20:00,11724.94,11799.99,11165,11301,1678.49,19240397.83,11462.95
